,Unnamed: 0,Game_ID,Home_ID,Away_ID,Attendance,Points_Home,Points_Away,Fouls_Home,Fouls_Away,Referee_1,Referee_2,Referee_3,Home_Team,Away_Team
175,175,21900175,1610612741,1610612751,19148.0,111,117,30,30,200832,202056,101284,Chicago Bulls,Brooklyn Nets
176,176,21900177,1610612752,1610612766,19401.0,102,103,21,18,1627961,1151,203591,New York Knicks,Charlotte Hornets
177,177,21900182,1610612746,1610612737,19068.0,150,101,28,27,101283,1162,203593,Los Angeles Clippers,Atlanta Hawks
178,178,21900178,1610612748,1610612740,19600.0,109,94,6,16,1188,201638,2534,Miami Heat,New Orleans Pelicans
179,179,21900176,1610612754,1610612749,17024.0,83,102,10,13,2530,1627963,1198,Indiana Pacers,Milwaukee Bucks
180,180,21900180,1610612742,1610612761,19926.0,110,102,15,20,201246,201639,1628172,Dallas Mavericks,Toronto Raptors
181,181,21900179,1610612750,1610612745,18978.0,105,125,20,18,1627964,202058,1626300,Minnesota Timberwolves,Houston Rockets
182,182,21900188,1610612747,1610612737,18997.0,122,101,19,19,1193,1628953,2714,Los Angeles Lakers,Atlanta Hawks
183,183,21900185,1610612753,1610612764,16344.0,125,121,15,21,1627529,1148,202049,Orlando Magic,Washington Wizards
184,184,21900183,1610612739,1610612755,19432.0,95,114,21,22,204059,2715,1627534,Cleveland Cavaliers,Philadelphia 76ers
185,185,21900184,1610612758,1610612738,16633.0,100,99,24,14,1627962,2148,202053,Sacramento Kings,Boston Celtics
186,186,21900186,1610612763,1610612743,14227.0,114,131,17,24,2003,202901,203592,Memphis Grizzlies,Denver Nuggets
187,187,21900187,1610612740,1610612744,16812.0,108,100,21,19,200834,1201,1174,New Orleans Pelicans,Golden State Warriors
188,188,21900192,1610612741,1610612749,17565.0,101,115,25,16,202026,1626301,2003,Chicago Bulls,Milwaukee Bucks
189,189,21900189,1610612752,1610612739,17097.0,123,105,24,26,101284,202056,202058,New York Knicks,Cleveland Cavaliers
190,190,21900195,1610612756,1610612738,15193.0,85,99,17,21,1628953,201246,1179,Phoenix Suns,Boston Celtics
191,191,21900190,1610612751,1610612754,14140.0,86,115,19,22,1628951,204058,2715,Brooklyn Nets,Indiana Pacers
192,192,21900197,1610612746,1610612760,19068.0,90,88,25,19,202053,201639,1627962,Los Angeles Clippers,Oklahoma City Thunder
193,193,21900193,1610612745,1610612757,18055.0,132,108,21,21,200834,1199,1628954,Houston Rockets,Portland Trail Blazers
194,194,21900196,1610612762,1610612750,18306.0,102,112,23,25,203593,1162,101283,Utah Jazz,Minnesota Timberwolves
195,195,21900194,1610612742,1610612759,19637.0,117,110,19,18,201640,201638,1188,Dallas Mavericks,San Antonio Spurs
196,196,21900191,1610612761,1610612766,19800.0,132,96,25,19,2529,1198,1627963,Toronto Raptors,Charlotte Hornets
197,197,21900201,1610612747,1610612760,18997.0,112,107,20,22,1830,202027,202037,Los Angeles Lakers,Oklahoma City Thunder
198,198,21900200,1610612758,1610612756,16732.0,120,116,26,20,2714,1204,1193,Sacramento Kings,Phoenix Suns
199,199,21900198,1610612763,1610612744,14511.0,95,114,23,24,201245,1627541,202041,Memphis Grizzlies,Golden State Warriors
200,200,21900199,1610612740,1610612757,15021.0,115,104,15,23,202049,1627964,1148,New Orleans Pelicans,Portland Trail Blazers
201,201,21900202,1610612755,1610612752,20384.0,109,104,14,25,1174,203592,204058,Philadelphia 76ers,New York Knicks
202,202,21900209,1610612741,1610612765,18119.0,109,89,24,20,1146,1628953,2002,Chicago Bulls,Detroit Pistons
203,203,21900205,1610612751,1610612766,14011.0,101,91,21,23,202026,2003,1628481,Brooklyn Nets,Charlotte Hornets
204,204,21900212,1610612746,1610612738,19068.0,107,104,18,22,200833,1830,202007,Los Angeles Clippers,Boston Celtics
205,205,21900206,1610612748,1610612739,19600.0,124,100,20,23,201637,2004,1199,Miami Heat,Cleveland Cavaliers
206,206,21900204,1610612737,1610612749,16441.0,127,135,26,25,201640,1626300,203591,Atlanta Hawks,Milwaukee Bucks
207,207,21900208,1610612742,1610612744,19569.0,142,94,21,16,202053,1155,2530,Dallas Mavericks,Golden State Warriors
208,208,21900210,1610612750,1610612762,13177.0,95,103,20,21,1628954,2882,204059,Minnesota Timberwolves,Utah Jazz
209,209,21900211,1610612743,1610612745,17778.0,105,95,21,22,1627962,1179,201639,Denver Nuggets,Houston Rockets
210,210,21900203,1610612764,1610612759,14579.0,138,132,20,13,2005,202058,1628159,Washington Wizards,San Antonio Spurs
