,Game_ID,Home_ID,Away_ID,Attendance,Points_Home,Points_Away,Fouls_Home,Fouls_Away,Referee_1,Referee_2,Referee_3,Off_Rating_Home,Off_Rating_Away
99,0021900102,1610612743,1610612748,18010,109,89,21,21,1148,201245,202027,111.2,90.8
100,0021900097,1610612766,1610612754,13341,122,120,17,34,1162,200834,203593,114.0,113.2
101,0021900101,1610612760,1610612753,18203,102,94,23,24,202041,1201,202053,107.4,100.0
102,0021900111,1610612746,1610612749,19068,124,129,28,28,203591,2004,2534,106.0,110.3
103,0021900107,1610612745,1610612744,18055,129,112,20,12,202026,1830,200833,126.5,109.8
104,0021900103,1610612765,1610612752,15463,122,102,17,20,1628953,202049,201638,123.2,104.1
105,0021900110,1610612762,1610612755,18306,106,104,21,20,2002,1174,1626301,106.0,105.1
106,0021900104,1610612754,1610612764,16171,121,106,25,26,1627534,201640,202007,118.6,102.9
107,0021900105,1610612737,1610612741,15049,93,113,26,30,1626302,2714,203593,87.7,104.6
108,0021900109,1610612742,1610612753,19487,107,106,23,30,204059,1627962,1179,107.0,105.0
109,0021900106,1610612761,1610612758,19800,124,120,20,23,1193,201639,1627519,120.4,117.6
110,0021900108,1610612763,1610612750,13503,137,121,22,22,1627963,2715,1626300,128.0,113.1
111,0021900113,1610612759,1610612760,18354,121,112,21,14,1830,200833,201637,123.5,114.3
112,0021900114,1610612756,1610612748,15498,108,124,21,28,2148,1626301,2002,106.9,122.8
113,0021900115,1610612746,1610612757,19068,107,101,14,27,201245,204058,1148,101.9,97.1
114,0021900112,1610612766,1610612738,18487,87,108,19,19,2003,1201,2005,83.7,103.8
115,0021900126,1610612747,1610612748,18997,95,80,24,12,2004,1155,1174,100.0,85.1
116,0021900117,1610612753,1610612763,17021,118,86,17,22,1151,202026,203593,115.7,86.0
117,0021900125,1610612757,1610612751,20089,115,119,24,25,203591,202053,2534,115.0,119.0
118,0021900124,1610612762,1610612749,18306,103,100,27,26,1188,2148,202058,97.2,94.3
119,0021900116,1610612754,1610612765,15544,112,106,16,26,1199,1628954,204059,116.7,108.2
120,0021900119,1610612737,1610612758,16447,109,121,19,19,202041,1628159,202037,118.5,131.5
121,0021900122,1610612742,1610612752,20257,102,106,21,20,1628481,200832,2714,100.0,103.9
122,0021900123,1610612743,1610612755,19520,100,97,16,19,1627961,1198,2530,104.2,100.0
123,0021900120,1610612750,1610612744,15647,125,119,23,26,202027,1146,1628951,105.0,98.3
124,0021900118,1610612764,1610612739,16946,100,113,24,17,201639,202049,203592,102.0,115.3
125,0021900121,1610612740,1610612761,16337,104,122,23,24,101283,1179,1627524,95.4,113.0
126,0021900127,1610612759,1610612738,18354,115,135,22,25,2882,201246,1627962,108.5,128.6
127,0021900129,1610612741,1610612745,20482,94,117,22,21,2715,1628951,201638,86.2,108.3
128,0021900128,1610612766,1610612740,18513,110,115,27,28,1193,2529,1628172,102.8,106.5
129,0021900131,1610612760,1610612744,18203,114,108,17,18,1148,200832,201245,112.9,106.9
130,0021900130,1610612763,1610612742,15753,122,138,22,14,101284,202049,202056,116.2,130.2
131,0021900134,1610612755,1610612766,20311,114,106,16,19,1830,201637,202037,114.0,106.0
132,0021900139,1610612747,1610612761,18997,104,113,20,17,202058,2534,1188,102.0,111.9
133,0021900136,1610612752,1610612739,19812,87,108,26,19,201640,202027,202035,87.9,110.2
134,0021900137,1610612756,1610612751,17290,138,112,17,24,1155,1174,204058,129.0,104.7
135,0021900133,1610612753,1610612754,17118,102,109,10,13,1626300,2002,201639,109.7,118.5
136,0021900138,1610612757,1610612737,20041,124,113,22,26,2530,2005,1198,109.7,101.8
137,0021900132,1610612750,1610612743,13553,98,100,23,30,203591,202007,1179,90.7,92.6
138,0021900135,1610612760,1610612749,18203,119,121,20,21,1199,101283,1627961,109.2,112.0
139,0021900144,1610612744,1610612762,18064,108,122,24,16,1155,204058,2882,106.9,120.8
140,0021900143,1610612759,1610612763,18627,109,113,17,20,202041,202901,1193,110.1,113.0
141,0021900141,1610612738,1610612742,18624,116,106,27,26,1628954,2715,200834,126.1,114.0
142,0021900145,1610612746,1610612761,19068,98,88,21,24,2005,204059,2530,96.1,86.3
143,0021900140,1610612765,1610612750,12526,114,120,22,23,200833,2529,1626302,112.9,120.0
144,0021900142,1610612740,1610612745,16695,116,122,23,22,201246,101284,202056,106.4,111.9
145,0021900147,1610612755,1610612739,20294,98,97,20,13,1628159,2002,1151,102.1,99.0
146,0021900149,1610612741,1610612752,18668,120,102,25,28,202037,1148,1627524,116.5,99.0
147,0021900151,1610612756,1610612747,18055,115,123,22,21,1162,1198,203593,115.0,123.0
148,0021900148,1610612748,1610612765,19600,117,108,30,28,1627962,101283,202007,118.2,111.3
149,0021900152,1610612762,1610612751,18306,119,114,18,29,204059,1627541,2714,114.4,109.6
150,0021900146,1610612754,1610612760,15838,111,85,20,16,1627964,1626302,2004,111.0,85.0
151,0021900153,1610612758,1610612757,16358,107,99,25,19,1201,201640,202026,108.1,101.0
152,0021900150,1610612743,1610612737,18327,121,125,24,21,1188,2534,202058,121.0,125.0
153,0021900159,1610612747,1610612744,18997,120,94,18,14,202026,2530,2005,121.2,95.9
154,0021900156,1610612738,1610612764,19156,140,133,26,23,201638,203591,202027,129.6,124.3
155,0021900155,1610612753,1610612755,15113,112,97,22,27,203592,202007,202041,108.7,95.1
156,0021900157,1610612745,1610612746,18055,102,93,17,21,1146,2529,1204,102.0,93.0
157,0021900160,1610612757,1610612761,19544,106,114,16,20,2882,1155,204058,108.2,116.3
158,0021900154,1610612766,1610612763,13155,117,119,12,21,200832,1626301,2715,112.5,114.4
159,0021900158,1610612750,1610612759,11581,129,114,25,23,1627963,200834,202049,126.5,110.7
160,0021900162,1610612752,1610612742,19812,106,103,27,16,1626300,2002,1199,110.4,107.3
161,0021900165,1610612756,1610612737,15143,128,112,24,31,1627541,201640,204059,114.3,100.0
162,0021900161,1610612739,1610612748,17374,97,108,16,21,1627963,201639,200833,99.0,109.1
163,0021900163,1610612749,1610612741,17627,124,115,22,29,1151,202049,1628172,109.7,101.8
